case_name,mode,provider,model,runtime_seconds,llm_calls,initial_issue_count,final_issue_count,resolved_issue_count,average_f1,initial_class_precision,initial_class_recall,initial_class_f1,initial_attribute_precision,initial_attribute_recall,initial_attribute_f1,initial_relationship_strict_f1,initial_relationship_relaxed_f1,final_class_precision,final_class_recall,final_class_f1,final_attribute_precision,final_attribute_recall,final_attribute_f1,final_relationship_strict_precision,final_relationship_strict_recall,final_relationship_strict_f1,final_relationship_relaxed_precision,final_relationship_relaxed_recall,final_relationship_relaxed_f1
uni,rethink,ollama,llama3.1:8b,428.007920541,12,4,8,0,0.6428571428571429,0.75,0.75,0.75,0.375,0.75,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.6666666666666666,0.5714285714285715,0.4,0.6666666666666666,0.5
videostore,rethink,ollama,llama3.1:8b,221.52860262499985,12,2,2,0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0
airlines,single,ollama,llama3.1:8b,45.40487216699995,2,2,2,0,0.4365079365079365,0.75,1.0,0.8571428571428571,1.0,0.8,0.888888888888889,0.0,0.0,0.75,1.0,0.8571428571428571,1.0,0.8,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0
amphibious,single,ollama,llama3.1:8b,54.415602541,2,3,3,0,0.39015151515151514,0.7142857142857143,1.0,0.8333333333333333,1.0,0.5714285714285714,0.7272727272727273,0.0,0.0,0.7142857142857143,1.0,0.8333333333333333,1.0,0.5714285714285714,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0
car,single,ollama,llama3.1:8b,144.59969925000007,2,14,14,0,0.40384615384615385,1.0,1.0,1.0,0.4444444444444444,1.0,0.6153846153846153,0.0,0.0,1.0,1.0,1.0,0.4444444444444444,1.0,0.6153846153846153,0.0,0.0,0.0,0.0,0.0,0.0
files,single,ollama,llama3.1:8b,57.182125875000004,2,6,6,0,0.5292207792207793,1.0,1.0,1.0,0.375,1.0,0.5454545454545454,0.28571428571428575,0.28571428571428575,1.0,1.0,1.0,0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,0.25,0.3333333333333333,0.28571428571428575
robots,single,ollama,llama3.1:8b,50.43511779099998,2,3,3,0,0.423076923076923,0.8571428571428571,1.0,0.923076923076923,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0.0,0.0,0.0,0.0
theater,single,ollama,llama3.1:8b,74.417292125,2,3,3,0,0.41634615384615387,1.0,0.6666666666666666,0.8,0.16666666666666666,0.5,0.25,0.3076923076923077,0.3076923076923077,1.0,0.6666666666666666,0.8,0.16666666666666666,0.5,0.25,0.4,0.25,0.3076923076923077,0.4,0.25,0.3076923076923077
uni,single,ollama,llama3.1:8b,66.901323417,2,5,5,0,0.3952922077922078,0.75,0.75,0.75,0.42857142857142855,0.75,0.5454545454545454,0.0,0.28571428571428575,0.75,0.75,0.75,0.42857142857142855,0.75,0.5454545454545454,0.0,0.0,0.0,0.25,0.3333333333333333,0.28571428571428575
videostore,single,ollama,llama3.1:8b,61.265627749999965,2,2,2,0,0.4375,1.0,1.0,1.0,0.6,1.0,0.7499999999999999,0.0,0.0,1.0,1.0,1.0,0.6,1.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,0.0
