case_name,mode,provider,model,runtime_seconds,llm_calls,initial_issue_count,final_issue_count,resolved_issue_count,average_f1,initial_class_precision,initial_class_recall,initial_class_f1,initial_attribute_precision,initial_attribute_recall,initial_attribute_f1,initial_relationship_strict_f1,initial_relationship_relaxed_f1,final_class_precision,final_class_recall,final_class_f1,final_attribute_precision,final_attribute_recall,final_attribute_f1,final_relationship_strict_precision,final_relationship_strict_recall,final_relationship_strict_f1,final_relationship_relaxed_precision,final_relationship_relaxed_recall,final_relationship_relaxed_f1
car,rethink,ollama,qwen2.5:3b,87.74668795899998,13,1,1,0,0.5892857142857143,1.0,1.0,1.0,0.8571428571428571,0.75,0.7999999999999999,0.0,0.7499999999999999,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.0,0.0,0.0,0.4,0.6666666666666666,0.5
files,rethink,ollama,qwen2.5:3b,45.368388791,10,1,1,0,1.0,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
robots,rethink,ollama,qwen2.5:3b,73.02311437499998,13,1,1,0,0.4423076923076923,1.0,1.0,1.0,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0.0,0.0,0.0,0.0
theater,rethink,ollama,qwen2.5:3b,88.21048383300001,16,1,1,0,0.5034188034188034,1.0,0.6666666666666666,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.15384615384615385,0.6153846153846154,1.0,0.6666666666666666,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.2,0.125,0.15384615384615385,0.8,0.5,0.6153846153846154
uni,rethink,ollama,qwen2.5:3b,77.403795,14,1,1,0,0.5875,0.75,0.75,0.75,0.5,0.75,0.6,0.3333333333333333,0.6666666666666666,0.75,0.75,0.75,0.5,0.75,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
videostore,rethink,ollama,qwen2.5:3b,45.564448166000034,10,1,1,0,0.8392857142857143,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.5,0.5,0.5,1.0,1.0,1.0
airlines,rethink,ollama,qwen2.5:3b,51.985447875000034,13,1,1,0,0.3303571428571429,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0
amphibious,rethink,ollama,qwen2.5:3b,95.93107920799997,13,1,1,0,0.3159722222222222,1.0,0.8,0.888888888888889,0.25,0.75,0.375,0.0,1.0,1.0,0.8,0.888888888888889,0.25,0.75,0.375,0.0,0.0,0.0,0.0,0.0,0.0
car,rethink,ollama,qwen2.5:3b,98.12085408300004,15,1,1,0,0.4642857142857143,1.0,1.0,1.0,0.8571428571428571,0.75,0.7999999999999999,0.0,0.7499999999999999,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
files,rethink,ollama,qwen2.5:3b,50.057493667,12,1,1,0,1.0,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
robots,rethink,ollama,qwen2.5:3b,76.49046345799997,15,1,1,0,0.4423076923076923,1.0,1.0,1.0,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0.0,0.0,0.0,0.0
theater,rethink,ollama,qwen2.5:3b,94.92737070800001,19,1,1,0,0.5034188034188034,1.0,0.6666666666666666,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.15384615384615385,0.6153846153846154,1.0,0.6666666666666666,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.2,0.125,0.15384615384615385,0.8,0.5,0.6153846153846154
uni,rethink,ollama,qwen2.5:3b,84.861512041,17,1,1,0,0.5875,0.75,0.75,0.75,0.5,0.75,0.6,0.3333333333333333,0.6666666666666666,0.75,0.75,0.75,0.5,0.75,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
videostore,rethink,ollama,qwen2.5:3b,47.05405424999998,12,1,1,0,0.8392857142857143,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.5,0.5,0.5,1.0,1.0,1.0
